Z,EPICS_SHELL,H0[mc]
1,1,116.3435635
2,1,73.31425966
3,1,45.08484497
3,3,265.8498374
4,1,32.47753301
4,3,183.628238
5,1,25.48869596
5,3,137.0359991
5,5,84.27713954
6,1,20.96650697
6,3,110.1769432
6,5,66.87356776
7,1,17.81468039
7,3,92.08819124
7,5,55.77365182
7,6,55.77365182
8,1,15.48506728
8,3,79.34384358
8,5,47.96260085
8,6,47.96260085
9,1,13.70359981
9,3,69.61428763
9,5,42.07005304
9,6,42.07005304
10,1,12.33324002
10,3,62.0773078
10,5,37.54786272
10,6,37.54786272
11,1,11.16843346
11,3,53.44403964
11,5,30.83309908
11,6,30.83309908
11,8,283.6645189
12,1,10.20918146
12,3,46.86631365
12,5,26.31091201
12,6,26.31091201
12,8,217.8872394
13,1,9.400669953
13,3,41.79597982
13,5,23.02204784
13,6,23.02204784
13,8,169.9246389
13,10,125.9360831
14,1,8.701785708
14,3,37.68489904
14,5,20.41836331
14,6,20.41836331
14,8,142.517439
14,10,101.9547837
14,11,101.9547837
15,1,8.112531447
15,3,34.39603714
15,5,18.36282349
15,6,18.36282349
15,8,122.9212908
15,10,86.46971511
15,11,86.46971511
16,1,7.578090525
16,3,31.51827885
16,5,16.71839246
16,6,16.71839246
16,8,108.806583
16,10,75.50683548
16,11,75.50683548
17,1,7.12587167
17,3,29.18866819
17,5,15.34803202
17,6,15.34803202
17,8,97.70666721
17,10,67.14763941
17,11,67.14763941
18,1,6.714763827
18,3,27.13312913
18,5,14.25174362
18,6,14.25174362
18,8,88.93636361
18,10,60.56991141
18,11,60.56991141
19,1,6.358470483
19,3,25.35165866
19,5,13.22397352
19,6,13.22397352
19,8,78.11051933
19,10,51.52553543
19,11,51.52553543
19,16,337.1085578
20,1,6.029584231
20,3,23.84426336
20,5,12.36064652
20,6,12.36064652
20,8,69.61428763
20,10,45.22188081
20,11,45.22188081
20,16,267.2201975
21,1,5.728104988
21,3,22.47390275
21,5,11.60694886
21,6,11.60694886
21,8,64.54395589
21,10,41.65894279
